# above was wrong analysis, used pyspecview to define frequencies
# from that approach is not good to see exact freq before and after


time ST_crash fBefore fAfter

2.1098 - 1.0 2.2
2.13005 - 0.3 0.6
2.1712 - 1.3 0.5
2.2176 - 0.5 0.5
2.267 - 0.7 0.6
2.290721 + 0.5 0.4
2.334962 + 0.6 0.8
2.382281 - 0.6 0.5
2.446855 - 0.7 0.5
2.46942 + 0.7 0.5
2.491352 - 0.6 0.6
2.52595 - 0.8 0.5
2.563676 - 0.5 0.5
2.586641 - 0.8 0.5
2.608179 + 0.7 0.5
2.651092 + 1.2 0.6 
2.672658 + 0.8 0.3 
2.69367 - 0.6 0.5
2.726 - 0.4 0.4
2.91882 - 0.8 0.6
2.962931 + 0.9 0.6
2.98548 - 0.8 0.7
3.05015 - 0.7 1.6
3.0946 + 1.4 2.7
3.1367 - 2.0 3.0
3.1728 + 3.2 4.0
3.2371 + 3.5 4.0
3.2959 + 2.7 4.2
3.34136 + 5.1 4.3
3.4076 + 3.9 4.6
3.43172 - 4.0 4.5
3.444714 - 4.0 4.5 
3.508837 - 3.8 4.0
3.567463 + 3.2 5.0
3.66746 + 4.1 4.1
3.69663 - 4.1 4.3
3.728509 + 3.6 4.6
3.869065 - 3.6 3.6
3.899704 - 2.3 3.9
3.932255 - 3.9 4.3
4.027794 - 5.6 5.6
4.076614 + 7.7 7.5
4.140260 + 9.1 8.5
4.207300 + 9.5 8.6
4.256147 + 8.7 8.6
4.339214 + 9.5 9.0
4.371854 - 9.1 8.2
4.451035 + 9.1 8.2
4.489025 + 9.1 8.0
4.577664 + 10.0 8.6
4.623875 + 8.3 8.6 
4.706305 + 8.7 8.3
4.787620 + 9.1 8.3 
4.879455 + 8.7 8.8
4.944119 + 9.1 8.3
4.978594 + 9.1 8.0


?? 3.20485 + 2.6 3.5 questionable, crash then once more crash, without explanation, so far should be removed

?? 3.3765 + 6.5 4.4 slow reconnection, don't know whether to include or not

?? 3.602984 + 4.3 4.3  slow reconnection

?? 3.992384 + ? ? ?? two crashes, slow reconnection
